name,img,threeD,in: Max Height[ft],in: Average Tower Floorplate[sqft],in: Position Index,out: Plaza Analysis Area[sqft],out: Average Daylight Hours Equinox[hr],out: Facade Analysis Area[sqft],out: Area with View[sqft],out: Empire State[sqft],out: Central Park[sqft],out: East River[sqft],out: Daylight Evaluation Score[%]
0404,design_explorer_data/kpf/Images/0404.png,design_explorer_data/kpf/Json/0404.json,756.0,25174.468085,2,38650.0,4.082371,526694.177123,214289.653017,53788.795404,107153.984985,82750.04601,89.601667
0405,design_explorer_data/kpf/Images/0405.png,design_explorer_data/kpf/Json/0405.json,784.0,23975.510204,2,38650.0,4.082371,533162.402015,220757.877908,55405.851627,110388.097431,89680.835094,90.350833
0406,design_explorer_data/kpf/Images/0406.png,design_explorer_data/kpf/Json/0406.json,840.0,22324.528302,2,38650.0,4.082371,549662.145152,237257.621045,59530.787411,118637.969,105515.449304,90.720833
0407,design_explorer_data/kpf/Images/0407.png,design_explorer_data/kpf/Json/0407.json,910.0,20255.172414,2,38650.0,4.082371,563996.411203,251591.887097,63114.353924,125805.102025,118843.278254,90.934167
0408,design_explorer_data/kpf/Images/0408.png,design_explorer_data/kpf/Json/0408.json,812.0,22870.588235,2,38650.0,4.082371,539630.626906,228408.258228,56997.538637,114898.593811,98995.867988,90.125833
0409,design_explorer_data/kpf/Images/0409.png,design_explorer_data/kpf/Json/0409.json,868.0,21360.0,2,38650.0,4.082371,556130.370043,244908.001365,61122.474421,123148.46538,114450.878631,90.75
0410,design_explorer_data/kpf/Images/0410.png,design_explorer_data/kpf/Json/0410.json,938.0,19440.0,2,38650.0,4.082371,570464.636094,259242.267417,64706.040934,130315.598405,126939.489919,90.805
0411,design_explorer_data/kpf/Images/0411.png,design_explorer_data/kpf/Json/0411.json,910.0,20131.034483,2,38650.0,4.082371,565635.715422,255357.868622,63494.622859,127112.615588,128477.365305,90.938333
0412,design_explorer_data/kpf/Images/0412.png,design_explorer_data/kpf/Json/0412.json,994.0,18356.25,2,38650.0,4.082371,586964.379232,276686.532432,68826.788812,137776.947493,145331.182345,90.774167
0413,design_explorer_data/kpf/Images/0413.png,design_explorer_data/kpf/Json/0413.json,1064.0,16904.347826,2,38650.0,4.082371,601298.645283,294116.146087,72829.964156,146778.015697,164225.121153,91.09
0414,design_explorer_data/kpf/Images/0414.png,design_explorer_data/kpf/Json/0414.json,770.0,24300.0,2,38650.0,4.090457,528075.798788,221004.244378,55923.682708,111463.010208,86672.099317,90.075
0415,design_explorer_data/kpf/Images/0415.png,design_explorer_data/kpf/Json/0415.json,812.0,23152.941176,2,38650.0,4.090457,542999.838247,235928.283836,59654.692572,118925.029937,99614.756718,90.358333
0416,design_explorer_data/kpf/Images/0416.png,design_explorer_data/kpf/Json/0416.json,868.0,21621.818182,2,38650.0,4.090457,559499.581384,252428.026973,63779.628357,127174.901506,115069.767361,90.8925
0417,design_explorer_data/kpf/Images/0417.png,design_explorer_data/kpf/Json/0417.json,938.0,19680.0,2,38650.0,4.090457,573833.847436,266762.293025,67363.194869,134342.034532,127558.378648,90.891667
0418,design_explorer_data/kpf/Images/0418.png,design_explorer_data/kpf/Json/0418.json,840.0,22120.754717,2,38650.0,4.090457,549468.063138,243466.218365,61271.748795,123272.3421,109165.457296,90.673333
0419,design_explorer_data/kpf/Images/0419.png,design_explorer_data/kpf/Json/0419.json,896.0,20715.789474,2,38650.0,4.090457,565967.806275,259965.961502,65396.684579,131522.213668,124239.966962,91.413333
0420,design_explorer_data/kpf/Images/0420.png,design_explorer_data/kpf/Json/0420.json,966.0,18909.677419,2,38650.0,4.090457,580302.072327,274300.227553,68980.251092,138689.346694,136088.821277,91.4225
0421,design_explorer_data/kpf/Images/0421.png,design_explorer_data/kpf/Json/0421.json,938.0,19560.0,2,38650.0,4.090457,575473.151654,269846.12427,67773.020924,135296.861229,137497.375006,91.651667
