name,img,threeD,in: Max Height,in: Average Tower Floorplate,in: Position Index,out: Plaza Analysis Area,out: Average Daylight Hours Equinox,out: Facade Analysis Area,out: Area with View,out: Empire State,out: Central Park,out: East River,out: Daylight Evaluation Score
0195,design_explorer_data/kpf/Images/0195.png,design_explorer_data/kpf/Json/0195.json,1008.0,17926.153846,4,42000.0,5.133145,590057.687154,306442.421515,89175.995723,147738.128562,141572.038792,90.201667
0196,design_explorer_data/kpf/Images/0196.png,design_explorer_data/kpf/Json/0196.json,1078.0,16525.714286,4,42000.0,5.133145,604391.953205,321279.046205,92759.562235,155723.791798,158678.589189,90.150833
0197,design_explorer_data/kpf/Images/0197.png,design_explorer_data/kpf/Json/0197.json,784.0,23608.163265,4,42000.0,5.133145,531169.10671,246874.953076,74875.997669,120687.535191,82444.192033,90.335
0198,design_explorer_data/kpf/Images/0198.png,design_explorer_data/kpf/Json/0198.json,826.0,22523.076923,4,42000.0,5.133145,546093.146169,261798.992535,78607.007534,128149.55492,95531.912785,90.4025
0199,design_explorer_data/kpf/Images/0199.png,design_explorer_data/kpf/Json/0199.json,882.0,21064.285714,4,42000.0,5.133145,562592.889306,278298.735672,82731.943318,136399.426489,110590.568235,90.6225
0200,design_explorer_data/kpf/Images/0200.png,design_explorer_data/kpf/Json/0200.json,952.0,19200.0,4,42000.0,5.133145,576927.155358,292633.001724,86315.509831,143566.559515,122768.179813,90.751667
0201,design_explorer_data/kpf/Images/0201.png,design_explorer_data/kpf/Json/0201.json,854.0,21533.333333,4,42000.0,5.133145,552561.37106,269748.463571,80224.063756,131563.160363,105876.692992,90.914167
0202,design_explorer_data/kpf/Images/0202.png,design_explorer_data/kpf/Json/0202.json,910.0,20193.103448,4,42000.0,5.133145,569061.114197,286248.206708,84348.999541,139813.031932,120552.753511,91.1675
0203,design_explorer_data/kpf/Images/0203.png,design_explorer_data/kpf/Json/0203.json,980.0,18457.142857,4,42000.0,5.133145,583395.380249,300582.472759,87932.566054,146980.164957,132300.412533,91.23
0204,design_explorer_data/kpf/Images/0204.png,design_explorer_data/kpf/Json/0204.json,952.0,19081.967213,4,42000.0,5.133145,578566.459576,297492.878305,86725.335886,144563.610668,134010.732241,91.3425
0205,design_explorer_data/kpf/Images/0205.png,design_explorer_data/kpf/Json/0205.json,1036.0,17480.597015,4,42000.0,5.133145,599895.123386,318821.542115,92057.501838,155227.942573,150144.284467,91.310833
0206,design_explorer_data/kpf/Images/0206.png,design_explorer_data/kpf/Json/0206.json,1106.0,16150.0,4,42000.0,5.133145,614229.389438,333404.401554,95641.068351,162796.582909,166984.139955,91.3325
0207,design_explorer_data/kpf/Images/0207.png,design_explorer_data/kpf/Json/0207.json,882.0,20614.285714,4,42000.0,5.133145,559029.595951,279415.137694,81739.643127,135792.783314,117557.752411,91.816667
